accuracy,accuracy_drop,balanced_accuracy,balanced_accuracy_drop,case,cost_saving_fraction,delayed_exit_count,exit_disagreement_count,expected_cost_fraction,historical_no_overhead_saving,macro_f1,method,premature_count,reference_accuracy,reference_balanced_accuracy,requested_saving,rescue_count,route_fractions,samples,seed,split,threshold,view,worst_class_accuracy_drop
0.87,0.0,0.8700000000000001,0.0,cifar10,0.30766428705774174,1662,213,0.6923357129422583,0.3077116632881235,0.8702221963801193,margin,0,0.87,0.8700000000000001,0.3,0,"[0.5466, 0.4534]",5000,57,target,0.9948946244570148,matched_compute,0.0
0.87,0.0,0.8700000000000001,0.0,cifar10,0.30541204572527225,1711,245,0.6945879542747277,0.3054598399197509,0.8705465381481405,margin,0,0.87,0.8700000000000001,0.3,0,"[0.5426, 0.45740000000000003]",5000,58,target,0.9948946244570148,matched_compute,0.0
0.8706,0.0,0.8705999999999999,0.0,cifar10,0.2755698480700508,1912,245,0.7244301519299492,0.27562318028881316,0.8710272687835319,margin,0,0.8706,0.8705999999999999,0.3,0,"[0.4896, 0.5104]",5000,59,target,0.9948946244570148,matched_compute,0.0
0.564,-0.00019999999999997797,0.564,-0.00020000000000000017,cifar100_strict,0.07596226538942796,2203,1599,0.924037734610572,0.07684963180242455,0.5622469657021706,msp,0,0.5638,0.5638000000000001,,1,"[0.1348, 0.8652]",5000,60,source,0.9985456278754168,same_risk,0.0
0.5664,-0.00019999999999997797,0.5664000000000001,-0.00020000000000000017,cifar100_strict,0.07333508235728492,2215,1615,0.9266649176427151,0.07422716662222306,0.5638976570324403,msp,0,0.5662,0.5662000000000001,,1,"[0.1302, 0.8698]",5000,61,source,0.9985456278754168,same_risk,0.0
0.5666,-0.00019999999999997797,0.5666,-0.00019999999999999906,cifar100_strict,0.07721874423088759,2175,1570,0.9227812557691124,0.07810385427991218,0.5648513615826299,msp,0,0.5664,0.5664,,1,"[0.137, 0.863]",5000,62,source,0.9985456278754168,same_risk,0.0
0.5636,0.0,0.5636000000000001,0.0,cifar100_strict,0.0724212795634962,2192,1605,0.9275787204365038,0.07331500482041398,0.5625770403325432,msp,0,0.5636,0.5636000000000001,,0,"[0.1286, 0.8714]",5000,63,target,0.9985456278754168,same_risk,0.0
0.5628,-0.00039999999999995595,0.5628000000000001,-0.00040000000000000034,cifar100_strict,0.07059367397591843,2286,1614,0.9294063260240816,0.07149068121679547,0.5620525205670328,msp,0,0.5624,0.5624,,2,"[0.1254, 0.8746]",5000,64,target,0.9985456278754168,same_risk,0.0
0.5714,0.0,0.5714,0.0,cifar100_strict,0.07013677257902418,2271,1533,0.9298632274209758,0.07103460031589104,0.5697643701033708,msp,0,0.5714,0.5714,,0,"[0.1246, 0.8754]",5000,65,target,0.9985456278754168,same_risk,0.0
0.5646,-0.0008000000000000229,0.5646,-0.0007999999999999996,cifar100_strict,0.09983536337716148,2007,1599,0.9001646366228385,0.10067985887468978,0.5627811449296031,msp,0,0.5638,0.5638000000000001,0.1,4,"[0.1766, 0.8234]",5000,60,source,0.9960346994462443,matched_compute,0.0
0.5664,-0.00019999999999997797,0.5664000000000001,-0.00020000000000000017,cifar100_strict,0.09492367336054652,2041,1615,0.9050763266394535,0.09577698918996536,0.5638758069906832,msp,0,0.5662,0.5662000000000001,0.1,1,"[0.168, 0.832]",5000,61,source,0.9960346994462443,matched_compute,0.0
0.5664,0.0,0.5664,1.1102230246251566e-18,cifar100_strict,0.10029226477405595,1995,1570,0.899707735225944,0.10113593977559432,0.5646043439217621,msp,1,0.5664,0.5664,0.1,1,"[0.1774, 0.8226]",5000,62,source,0.9960346994462443,matched_compute,0.020000000000000018
